Fiscal year,Profit Centre,Product Group Name,General Ledger code,General Ledger Name/Income Type,Country,Country Name,Invoice Currency,Amount Invoice Currency ,GBP Equivalent,Quantity,Region,Aa Country,Profit Center &Product,Profit Center &Income type,Invoiced/Quantity
2020,C003,A and AS LEVEL,102000,Subject Fees,TC,Turksh Caicosin,GBP,"4,388",4388,61,Latin America,TC Turksh Caicosin,C003-A and AS LEVEL,C003-Subject Fees,72
2020,C003,A and AS LEVEL,102000,Subject Fees,TH,Thailand,GBP,"154,294",154294,2430,Southeast Asia & Pacific,TH Thailand,C003-A and AS LEVEL,C003-Subject Fees,64
2020,C003,A and AS LEVEL,102000,Subject Fees,TJ,Tajikistan,GBP,0,0,0,Europe,TJ Tajikistan,C003-A and AS LEVEL,C003-Subject Fees,
2020,C003,A and AS LEVEL,102000,Subject Fees,TN,Tunisia,GBP,761,761,8,Middle East & North Africa,TN Tunisia,C003-A and AS LEVEL,C003-Subject Fees,95
2020,C003,A and AS LEVEL,102000,Subject Fees,TO,Tonga,GBP,"3,795",3795,61,Southeast Asia & Pacific,TO Tonga,C003-A and AS LEVEL,C003-Subject Fees,62
2020,C003,A and AS LEVEL,102000,Subject Fees,TR,Turkey,GBP,"41,070",41070,524,Europe,TR Turkey,C003-A and AS LEVEL,C003-Subject Fees,78
2020,C003,A and AS LEVEL,102000,Subject Fees,TT,"Trinidad,Tobago",GBP,"7,621",7621,99,Latin America,"TT Trinidad,Tobago",C003-A and AS LEVEL,C003-Subject Fees,77
2020,C003,A and AS LEVEL,102000,Subject Fees,TW,Taiwan,GBP,"2,822",2822,42,East Asia,TW Taiwan,C003-A and AS LEVEL,C003-Subject Fees,67
2020,C003,A and AS LEVEL,102000,Subject Fees,TZ,Tanzania,GBP,"124,209",124209,2725,Sub-Saharan Africa,TZ Tanzania,C003-A and AS LEVEL,C003-Subject Fees,46
2020,C003,A and AS LEVEL,102000,Subject Fees,UG,Uganda,GBP,"92,915",92915,2046,Sub-Saharan Africa,UG Uganda,C003-A and AS LEVEL,C003-Subject Fees,45
2020,C003,A and AS LEVEL,102000,Subject Fees,US,USA,USD,"14,149,792",10948375,131012,North America,US USA,C003-A and AS LEVEL,C003-Subject Fees,108
2020,C003,A and AS LEVEL,102000,Subject Fees,UY,Uruguay,USD,"1,169",933,12,Latin America,UY Uruguay,C003-A and AS LEVEL,C003-Subject Fees,97
2020,C003,A and AS LEVEL,102000,Subject Fees,UZ,Uzbekistan,GBP,142,142,3,Europe,UZ Uzbekistan,C003-A and AS LEVEL,C003-Subject Fees,47
2020,C003,A and AS LEVEL,102000,Subject Fees,VC,St. Vincent,GBP,101,101,1,Latin America,VC St. Vincent,C003-A and AS LEVEL,C003-Subject Fees,101
2020,C003,A and AS LEVEL,102000,Subject Fees,VN,Vietnam,USD,"188,819",151918,1491,Southeast Asia & Pacific,VN Vietnam,C003-A and AS LEVEL,C003-Subject Fees,127
2020,C003,A and AS LEVEL,102000,Subject Fees,ZA,South Africa,GBP,"359,459",359459,7801,Sub-Saharan Africa,ZA South Africa,C003-A and AS LEVEL,C003-Subject Fees,46
2020,C003,A and AS LEVEL,102000,Subject Fees,ZM,Zambia,GBP,"55,825",55825,1240,Sub-Saharan Africa,ZM Zambia,C003-A and AS LEVEL,C003-Subject Fees,45
2020,C003,A and AS LEVEL,102000,Subject Fees,ZW,Zimbabwe,GBP,"875,097",875097,15977,Sub-Saharan Africa,ZW Zimbabwe,C003-A and AS LEVEL,C003-Subject Fees,55
2020,C003,A and AS LEVEL,191500,Discounts Allowed,AE,Utd.Arab Emir.,GBP,"-80,169",-80169,0,Middle East & North Africa,AE Utd.Arab Emir.,C003-A and AS LEVEL,C003-Discounts Allowed,
2020,C003,A and AS LEVEL,191500,Discounts Allowed,AG,Antigua/Barbuda,GBP,-30,-30,0,Latin America,AG Antigua/Barbuda,C003-A and AS LEVEL,C003-Discounts Allowed,
2020,C003,A and AS LEVEL,191500,Discounts Allowed,AM,Armenia,GBP,-63,-63,0,Europe,AM Armenia,C003-A and AS LEVEL,C003-Discounts Allowed,
2020,C003,A and AS LEVEL,191500,Discounts Allowed,AO,Angola,GBP,-103,-103,0,Sub-Saharan Africa,AO Angola,C003-A and AS LEVEL,C003-Discounts Allowed,
2020,C003,A and AS LEVEL,191500,Discounts Allowed,AU,Australia,GBP,-59,-59,0,Southeast Asia & Pacific,AU Australia,C003-A and AS LEVEL,C003-Discounts Allowed,
2020,C003,A and AS LEVEL,191500,Discounts Allowed,AZ,Azerbaijan,GBP,-657,-657,0,Europe,AZ Azerbaijan,C003-A and AS LEVEL,C003-Discounts Allowed,
2020,C003,A and AS LEVEL,191500,Discounts Allowed,BA,Bosnia-Herz.,GBP,"-2,441",-2441,0,Europe,BA Bosnia-Herz.,C003-A and AS LEVEL,C003-Discounts Allowed,
2020,C003,A and AS LEVEL,191500,Discounts Allowed,BB,Barbados,GBP,-191,-191,0,Latin America,BB Barbados,C003-A and AS LEVEL,C003-Discounts Allowed,
2020,C003,A and AS LEVEL,191500,Discounts Allowed,BD,Bangladesh,GBP,"-55,287",-55287,0,South Asia,BD Bangladesh,C003-A and AS LEVEL,C003-Discounts Allowed,
2020,C003,A and AS LEVEL,191500,Discounts Allowed,BE,Belgium,EUR,"-1,983",-1770,0,Europe,BE Belgium,C003-A and AS LEVEL,C003-Discounts Allowed,
